Srce|Shipnum|Shpd_Dt|Origin|Destination|Cdty_Cd|Ori_city|Ori_St|Origin_Zip|Dest_city|Dest_St|Dest_Zip|TM_Miles||_date_|_origin_latitude_|_origin_longitude_|_dest_latitude_|_dest_longitude_|_delete_this_
TMS|25647029|21-Jul-20|HTN|21703|DRY|HOUSTON|TX|77029|ALEXANDRIA|LA|71302|234||2020-07-21|29.760794|-95.26043|31.261716|-92.42469|FALSE
TMS|25647030|21-Jul-20|HTN|41732|DRY|HOUSTON|TX|77029|LAFAYETTE|LA|70501|218||2020-07-21|29.760794|-95.26043|30.2334|-92.00959|FALSE
TMS|25647032|21-Jul-20|HTN|81774|DRY|HOUSTON|TX|77029|SHREVEPORT|LA|71106|236||2020-07-21|29.760794|-95.26043|32.426104|-93.74542|FALSE
TMS|25647033|21-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198||2020-07-21|29.760794|-95.26043|29.422583|-98.56584|FALSE
TMS|25647034|21-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261||2020-07-21|29.760794|-95.26043|32.630268|-97.27102|FALSE
TMS|25647035|21-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261||2020-07-21|29.760794|-95.26043|32.630268|-97.27102|FALSE
TMS|25647038|21-Jul-20|HTN|54215|DRY|HOUSTON|TX|77029|CORPUS CHRISTI|TX|78406|207||2020-07-21|29.760794|-95.26043|27.776304|-97.51253|FALSE
TMS|25647039|21-Jul-20|HTN|81774|DRY|HOUSTON|TX|77029|SHREVEPORT|LA|71106|236||2020-07-21|29.760794|-95.26043|32.426104|-93.74542|FALSE
TMS|25647041|21-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198||2020-07-21|29.760794|-95.26043|29.422583|-98.56584|FALSE
TMS|25647042|21-Jul-20|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85||2020-07-21|29.760794|-95.26043|30.065029|-94.18031|FALSE
TMS|25647049|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647051|21-Jul-20|HTN|54294|DRY|HOUSTON|TX|77029|VICTORIA|TX|77901|124||2020-07-21|29.760794|-95.26043|28.806417|-96.99356|FALSE
TMS|25647055|21-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198||2020-07-21|29.760794|-95.26043|29.422583|-98.56584|FALSE
TMS|25647056|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647057|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647058|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647060|21-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198||2020-07-21|29.760794|-95.26043|29.422583|-98.56584|FALSE
TMS|25647061|21-Jul-20|HTN|64295|DRY|HOUSTON|TX|77029|WACO|TX|76701|185||2020-07-21|29.760794|-95.26043|31.551955|-97.13833|FALSE
TMS|25647062|21-Jul-20|HTN|54294|DRY|HOUSTON|TX|77029|VICTORIA|TX|77901|124||2020-07-21|29.760794|-95.26043|28.806417|-96.99356|FALSE
TMS|25647064|21-Jul-20|HTN|61720|DRY|HOUSTON|TX|77029|FERRIDAY|LA|71334|295||2020-07-21|29.760794|-95.26043|31.667978|-91.51382|FALSE
TMS|25647071|21-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198||2020-07-21|29.760794|-95.26043|29.422583|-98.56584|FALSE
TMS|25647072|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647073|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647074|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
