Srce|Shipnum|Shpd_Dt|Origin|Destination|Cdty_Cd|Ori_city|Ori_St|Origin_Zip|Dest_city|Dest_St|Dest_Zip|TM_Miles
TMS|25657766|24-Jul-20|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85
TMS|25657790|24-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25657793|24-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25658084|24-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25658200|24-Jul-20|HTN|04249|DRY|HOUSTON|TX|77029|LAREDO|TX|78045|310
TMS|25659486|24-Jul-20|HTN|31712|DRY|HOUSTON|TX|77029|BATON ROUGE|LA|70809|268
TMS|25659487|24-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25659489|24-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25659495|24-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25659496|24-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25659497|24-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25659499|24-Jul-20|HTN|54215|DRY|HOUSTON|TX|77029|CORPUS CHRISTI|TX|78406|207
TMS|25659500|24-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25659501|24-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25659503|24-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25659505|24-Jul-20|HTN|94240|DRY|HOUSTON|TX|77029|HOUSTON|TX|77007|7
TMS|25659506|24-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25659507|24-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25659508|24-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25659509|24-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25659510|24-Jul-20|HTN|94216|DRY|HOUSTON|TX|77029|CONROE|TX|77301|41
TMS|25659512|24-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198
TMS|25659513|24-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25659514|24-Jul-20|HTN|94216|DRY|HOUSTON|TX|77029|CONROE|TX|77301|41
TMS|25659517|24-Jul-20|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85
TMS|25659519|24-Jul-20|HTN|64230|DRY|HOUSTON|TX|77029|COMMERCE|TX|75428|274
TMS|25659521|24-Jul-20|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85
TMS|25659523|24-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25659524|24-Jul-20|HTN|94240|DRY|HOUSTON|TX|77029|HOUSTON|TX|77007|7
TMS|25659526|24-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25659527|24-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25659529|24-Jul-20|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43
TMS|25659530|24-Jul-20|HTN|94224|DRY|HOUSTON|TX|77029|ROSENBERG|TX|77471|32
TMS|25659531|24-Jul-20|HTN|94240|DRY|HOUSTON|TX|77029|HOUSTON|TX|77007|7
TMS|25659532|24-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25659533|24-Jul-20|HTN|94240|DRY|HOUSTON|TX|77029|HOUSTON|TX|77007|7
TMS|25659534|24-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25659537|24-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25659540|24-Jul-20|HTN|94262|DRY|HOUSTON|TX|77029|HOUSTON (CYPRESS)|TX|77041|19
TMS|25659541|24-Jul-20|HTN|94240|DRY|HOUSTON|TX|77029|HOUSTON|TX|77007|7
TMS|25659542|24-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25659545|24-Jul-20|HTN|84245|DRY|HOUSTON|TX|77029|LONGVIEW|TX|75601|207
TMS|25663816|24-Jul-20|HTN|64259|DRYDRAUGHT|HOUSTON|TX|77029|PALESTINE|TX|75801|152
TMS|25663817|24-Jul-20|HTN|84257|DRY|HOUSTON|TX|77029|NACOGDOCHES|TX|75965|141
TMS|25663818|24-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25663819|24-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25663820|24-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25663821|24-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25663822|24-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25663825|24-Jul-20|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43
TMS|25663826|24-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10
TMS|25663827|24-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261
TMS|25663829|24-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
TMS|25663832|24-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242
