Original;BreweryGroup;Lane;Origin;OriginWslr;OriginCity;OriginState;OriginType;Destination;DestinationWslr;DestinationCity;DestinationState;DestinationType;OW_Miles;TR_Loads;BH_Loads;tgt_ded_pcnt;bbls;ActDedicatedPayload;DedicatedLoads;Loads;FilledLoads;TotalLoadsToFill;DedicatedLoadsToFill
245;COL;COL_53296;COL;43400;COLUMBUS;OH;BRWY;53296;53296;WINSTON\NSALEM;NC;WB;376;0;0;0;9250;155;\N;60;\N;60;\N
213;COL;COL_31325;COL;43400;COLUMBUS;OH;BRWY;31325;31325;EVANSVILLE;IN;WS;319;0;0;0;7688;153;\N;50;\N;50;\N
226;COL;COL_74505;COL;43400;COLUMBUS;OH;BRWY;74505;74505;BRISTOL;VA;WS;334;0;0;0;7154;150;\N;48;\N;48;\N
230;COL;COL_11209;COL;43400;COLUMBUS;OH;BRWY;11209;11209;MONTGOMERY;IL;WS;338;0;0;0;6172;142;\N;43;\N;43;\N
231;COL;COL_21214;COL;43400;COLUMBUS;OH;BRWY;21214;21214;BLOOMINGTON;IL;WB;338;0;0;0;6020;149;\N;40;\N;40;\N
215;COL;COL_01605;COL;43400;COLUMBUS;OH;BRWY;1605;1605;BOWLING GREEN;KY;WB;323;0;0;0;5761;134;\N;43;\N;43;\N
242;COL;COL_21221;COL;43400;COLUMBUS;OH;BRWY;21221;21221;GREENVILLE;IL;WS;372;0;0;0;5284;144;\N;37;\N;37;\N
200;COL;COL_31301;COL;43400;COLUMBUS;OH;BRWY;31301;31301;JASPER;IN;WS;281;0;0;0;5169;147;\N;35;\N;35;\N
212;COL;COL_93752;COL;43400;COLUMBUS;OH;BRWY;93752;93752;STATE COLLEGE;PA;WS;318;0;0;0;4947;147;\N;34;\N;34;\N
239;COL;COL_04110;COL;43400;COLUMBUS;OH;BRWY;4110;4110;COOKEVILLE;TN;WB;366;0;0;0;4632;142;\N;33;\N;33;\N
210;COL;COL_31666;COL;43400;COLUMBUS;OH;BRWY;31666;31666;OWENSBORO;KY;WB;313;0;0;0;4428;141;\N;31;\N;31;\N
248;COL;COL_01638;COL;43400;COLUMBUS;OH;BRWY;1638;1638;HOPKINSVILLE;KY;WB;381;0;0;0;4391;170;\N;26;\N;26;\N
251;COL;COL_94551;COL;43400;COLUMBUS;OH;BRWY;94551;94551;LYNCHBURG;VA;WB;388;0;0;0;3732;146;\N;26;\N;26;\N
234;COL;COL_94577;COL;43400;COLUMBUS;OH;BRWY;94577;94577;VERONA;VA;WS;345;0;0;0;3713;138;\N;27;\N;27;\N
188;COL;COL_61335;COL;43400;COLUMBUS;OH;BRWY;61335;61335;ATTICA;IN;WS;240;0;0;0;3631;147;\N;25;\N;25;\N
247;COL;COL_84512;COL;43400;COLUMBUS;OH;BRWY;84512;84512;CHARLOTTESVILLE;VA;WB;379;0;0;0;2328;135;\N;17;\N;17;\N
229;COL;COL_64524;COL;43400;COLUMBUS;OH;BRWY;64524;64524;WINCHESTER;VA;WB;337;0;0;0;1991;130;\N;15;\N;15;\N
223;COL;COL_31636;COL;43400;COLUMBUS;OH;BRWY;31636;31636;HENDERSON;KY;WS;332;0;0;0;1650;128;\N;13;\N;13;\N
246;COL;COL_21270;COL;43400;COLUMBUS;OH;BRWY;21270;21270;PEORIA;IL;WS;378;0;0;0;1379;130;\N;11;\N;11;\N
258;COL;COL_41273;COL;43400;COLUMBUS;OH;BRWY;41273;41273;LOVES PARK;IL;WS;399;0;0;0;1195;136;\N;9;\N;9;\N
196;COL;COL_01318;COL;43400;COLUMBUS;OH;BRWY;1318;1318;FRENCH LICK;IN;WS;256;0;0;0;1156;148;\N;8;\N;8;\N
208;COL;COL_81271;COL;43400;COLUMBUS;OH;BRWY;81271;81271;LAWRENCEVILLE;IL;WS;303;0;0;0;1025;154;\N;7;\N;7;\N
214;COL;COL_51264;COL;43400;COLUMBUS;OH;BRWY;51264;51264;MATTOON;IL;WS;320;0;0;0;726;135;\N;5;\N;5;\N
228;COL;COL_13755;COL;43400;COLUMBUS;OH;BRWY;13755;13755;LEWISTOWN;PA;WS;336;0;0;0;603;151;\N;4;\N;4;\N
254;COL;COL_64502;COL;43400;COLUMBUS;OH;BRWY;64502;64502;SPRINGFIELD;VA;WB;396;0;0;0;588;127;\N;5;\N;5;\N
253;COL;COL_10802;COL;43400;COLUMBUS;OH;BRWY;10802;10802;WASHINGTON;DC;WS;393;0;0;0;397;140;\N;3;\N;3;\N
243;COL;COL_51265;COL;43400;COLUMBUS;OH;BRWY;51265;51265;NOKOMIS;IL;WB;374;0;0;0;179;135;\N;1;\N;1;\N
