Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit,,,Inc Miles,Inc Minutes,Benefit
veh-25670651,,,,,,,,,,,,,,,,,
veh-25670657,,,,,,,,,,,,,,,,,
veh-25670657,,,,,,,,,,,,,,,,,
veh-25670657,,,,,,,,,,,,,,,,,
veh-25670657,,,,,,,,,,,,,,,,,
veh-25670657,,,,,,,,,,,,,,,,,
veh-25670659,,,,,,,,,,,,,,,,,
veh-25670659,,,,,,,,,,,,,,,,,
veh-25670659,,,,,,,,,,,,,,,,,
veh-25670659,,,,,,,,,,,,,,,,,
veh-25670659,,,,,,,,,,,,,,,,,
veh-25670666,,,,,,,,,,,,,,,,,
veh-25670666,,,,,,,,,,,,,,,,,
veh-25670666,,,,,,,,,,,,,,,,,
veh-25670666,,,,,,,,,,,,,,,,,
veh-25670666,,,,,,,,,,,,,,,,,
veh-25670667,25670667,"HOUSTON, TX","HOUSTON, TX",,25670667-188,LOADSMAR,917-438-9292,"HOUSTON, TX","DALLAS, TX",471.636820062883,633,318.000552325798,,,,,
veh-25670667,,,,,,,,,,,,,,,,,
veh-25670667,,,,,,,,,,,,,,,,,
veh-25670667,,,,,,,,,,,,,,,,,
veh-25670667,,,,,,,,,,,,,,,,,
veh-25673391,,,,,,,,,,,,,,,,,
veh-25673391,,,,,,,,,,,,,,,,,
veh-25673391,,,,,,,,,,,,,,,,,
veh-25673391,,,,,,,,,,,,,,,,,
veh-25673391,,,,,,,,,,,,,,,,,
veh-25673392,,,,,,,,,,,,,,,,,
veh-25673392,,,,,,,,,,,,,,,,,
veh-25673392,,,,,,,,,,,,,,,,,
veh-25673392,,,,,,,,,,,,,,,,,
veh-25673392,,,,,,,,,,,,,,,,,
veh-25673394,,,,,,,,,,,,,,,,,
veh-25673394,,,,,,,,,,,,,,,,,
veh-25673394,,,,,,,,,,,,,,,,,
veh-25673394,,,,,,,,,,,,,,,,,
veh-25673394,,,,,,,,,,,,,,,,,
veh-25674117,,,,,,,,,,,,,,,,,
veh-25674117,,,,,,,,,,,,,,,,,
veh-25674117,,,,,,,,,,,,,,,,,
veh-25674117,,,,,,,,,,,,,,,,,
veh-25674117,,,,,,,,,,,,,,,,,
veh-25674119,,,,,,,,,,,,,,,,,
veh-25674119,,,,,,,,,,,,,,,,,
veh-25674119,,,,,,,,,,,,,,,,,
veh-25674119,,,,,,,,,,,,,,,,,
veh-25674119,,,,,,,,,,,,,,,,,
veh-25674120,25674120,"HOUSTON, TX","SAN ANTONIO, TX",,25674120-140,CIRCLE L,260-918-9518,"SAN ANTONIO, TX","HOUSTON, TX",7.38066536592641,157,389.585481534873,,,,,
veh-25674120,,,,,,,,,,,,,,,,,
veh-25674120,,,,,,,,,,,,,,,,,
veh-25674120,,,,,,,,,,,,,,,,,
veh-25674120,,,,,,,,,,,,,,,,,
veh-25674122,,,,,,,,,,,,,,,,,
veh-25674122,,,,,,,,,,,,,,,,,
veh-25674122,,,,,,,,,,,,,,,,,
veh-25674122,,,,,,,,,,,,,,,,,
veh-25674122,,,,,,,,,,,,,,,,,
veh-25674123,,,,,,,,,,,,,,,,,
veh-25674123,,,,,,,,,,,,,,,,,
veh-25674123,,,,,,,,,,,,,,,,,
veh-25674123,,,,,,,,,,,,,,,,,
veh-25674123,,,,,,,,,,,,,,,,,
veh-25674125,,,,,,,,,,,,,,,,,
veh-25674125,,,,,,,,,,,,,,,,,
veh-25674125,,,,,,,,,,,,,,,,,
veh-25674125,,,,,,,,,,,,,,,,,
